action_id,priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,last_updated,lookahead_bucket,escalation_flag,blocking_flag,project_phase,planned_start_date,constraint_category,reason_code,source_field
A-J053-04,Medium,J053,Walkway 053,"Cranston, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-21,Site constraint,SLOPE,risk_drivers
A-J018-03,Medium,J018,Paver Patio 018,"Newton, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,ACCESS_RISK,risk_drivers
A-J037-02,Medium,J037,Paver Patio 037,"Boston, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Commercial review,MARGIN,estimated_margin_pct
A-J039-02,Medium,J039,Paver Patio 039,"Worcester, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,ACCESS_RISK,risk_drivers
A-J039-03,Medium,J039,Paver Patio 039,"Worcester, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,DEMO,risk_drivers
A-J039-04,Medium,J039,Paver Patio 039,"Worcester, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,CARRY,risk_drivers
A-J051-03,Medium,J051,Paver Patio 051,"Boston, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,SLOPE,risk_drivers
A-J051-05,Medium,J051,Paver Patio 051,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-22,Site constraint,DEMO,risk_drivers
A-J049-01,Medium,J049,Walkway 049,"Framingham, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-21,Open,2026-07-15,Next 7 Days,No,Yes,Preconstruction,2026-07-23,Readiness gate,UTILITY,utility_locate_status
A-J005-01,Medium,J005,Paver Patio 005,"Providence, RI",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-22,Open,2026-07-15,Next 7 Days,No,Yes,Preconstruction,2026-07-24,Readiness gate,PERMIT,permit_status
A-J001-01,Medium,J001,Walkway 001,"Pawtucket, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-23,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-25,Readiness gate,ACCESS_GATE,site_access_verified
A-J031-01,Medium,J031,Walkway 031,"Newport, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-23,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-25,Readiness gate,ACCESS_GATE,site_access_verified
A-J042-01,Medium,J042,Paver Patio 042,"Quincy, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-23,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-25,Readiness gate,PERMIT,permit_status
A-J048-01,Medium,J048,Paver Patio 048,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-23,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-25,Readiness gate,MATERIAL,materials_status
A-J010-01,Medium,J010,Paver Patio 010,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-24,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-26,Readiness gate,MATERIAL,materials_status
A-J035-01,Medium,J035,Paver Patio 035,"Providence, RI",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-24,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-26,Readiness gate,SCOPE,scope_approved
A-J041-01,Medium,J041,Paver Patio 041,"Worcester, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Commercial review,MARGIN,estimated_margin_pct
A-J009-01,Medium,J009,Paver Patio 009,"Framingham, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-25,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-27,Readiness gate,CREW,crew_assigned
A-J014-01,Medium,J014,Paver Patio 014,"Pawtucket, RI",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-25,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-27,Readiness gate,PERMIT,permit_status
A-J014-02,Medium,J014,Paver Patio 014,"Pawtucket, RI",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-25,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-27,Readiness gate,CREW,crew_assigned
A-J028-01,Medium,J028,Paver Patio 028,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-25,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-27,Readiness gate,MATERIAL,materials_status
A-J027-01,Medium,J027,Paver Patio 027,"Boston, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-28,Readiness gate,UTILITY,utility_locate_status
A-J060-01,Medium,J060,Paver Patio 060,"Braintree, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-28,Readiness gate,UTILITY,utility_locate_status
A-J060-02,Medium,J060,Paver Patio 060,"Braintree, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-28,Readiness gate,PERMIT,permit_status
A-J060-03,Medium,J060,Paver Patio 060,"Braintree, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Commercial review,MARGIN,estimated_margin_pct
A-J026-01,Medium,J026,Paver Patio 026,"Quincy, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-27,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-29,Readiness gate,SCOPE,scope_approved
A-J026-02,Medium,J026,Paver Patio 026,"Quincy, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-27,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-29,Readiness gate,UTILITY,utility_locate_status
A-J026-03,Medium,J026,Paver Patio 026,"Quincy, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-27,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-29,Readiness gate,CREW,crew_assigned
A-J026-04,Medium,J026,Paver Patio 026,"Quincy, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-27,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-29,Commercial review,MARGIN,estimated_margin_pct
A-J033-01,Medium,J033,Walkway 033,"Warwick, RI",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-27,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-29,Readiness gate,PERMIT,permit_status
A-J030-01,Medium,J030,Paver Patio 030,"Quincy, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-30,Readiness gate,UTILITY,utility_locate_status
A-J030-02,Medium,J030,Paver Patio 030,"Quincy, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Commercial review,MARGIN,estimated_margin_pct
A-J040-01,Medium,J040,Paver Patio 040,"Braintree, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-30,Readiness gate,UTILITY,utility_locate_status
A-J040-02,Medium,J040,Paver Patio 040,"Braintree, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-30,Readiness gate,CREW,crew_assigned
A-J040-03,Medium,J040,Paver Patio 040,"Braintree, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Commercial review,MARGIN,estimated_margin_pct
A-J007-01,Medium,J007,Paver Patio 007,"Boston, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-29,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-31,Readiness gate,PERMIT,permit_status
A-J034-01,Medium,J034,Paver Patio 034,"Braintree, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-29,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-31,Readiness gate,SCOPE,scope_approved
A-J034-02,Medium,J034,Paver Patio 034,"Braintree, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-29,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-07-31,Readiness gate,PERMIT,permit_status
A-J003-01,Medium,J003,Paver Patio 003,"Newton, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-30,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-01,Readiness gate,MATERIAL,materials_status
A-J004-01,Medium,J004,Paver Patio 004,"Warwick, RI",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-30,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-01,Readiness gate,PERMIT,permit_status
A-J017-01,Medium,J017,Walkway 017,"Worcester, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-30,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-01,Readiness gate,UTILITY,utility_locate_status
A-J017-02,Medium,J017,Walkway 017,"Worcester, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-30,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-01,Readiness gate,MATERIAL,materials_status
A-J015-01,Medium,J015,Paver Patio 015,"Boston, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-02,Readiness gate,SCOPE,scope_approved
A-J015-02,Medium,J015,Paver Patio 015,"Boston, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Commercial review,MARGIN,estimated_margin_pct
A-J016-01,Medium,J016,Paver Patio 016,"Quincy, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-02,Readiness gate,UTILITY,utility_locate_status
A-J016-02,Medium,J016,Paver Patio 016,"Quincy, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-02,Readiness gate,PERMIT,permit_status
A-J055-01,Medium,J055,Paver Patio 055,"Quincy, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-02,Readiness gate,ACCESS_GATE,site_access_verified
A-J057-01,Medium,J057,Paver Patio 057,"Pawtucket, RI",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-02,Readiness gate,SCOPE,scope_approved
A-J019-01,Medium,J019,Walkway 019,"Cranston, RI",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,CREW,crew_assigned
A-J021-01,Medium,J021,Paver Patio 021,"Newport, RI",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,MATERIAL,materials_status
A-J021-02,Medium,J021,Paver Patio 021,"Newport, RI",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-08-01,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-03,Commercial review,MARGIN,estimated_margin_pct
A-J023-01,Medium,J023,Paver Patio 023,"Cranston, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,ACCESS_GATE,site_access_verified
A-J023-02,Medium,J023,Paver Patio 023,"Cranston, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,UTILITY,utility_locate_status
A-J023-03,Medium,J023,Paver Patio 023,"Cranston, RI",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,CREW,crew_assigned
A-J036-01,Medium,J036,Paver Patio 036,"Cranston, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-03,Readiness gate,UTILITY,utility_locate_status
A-J013-01,Medium,J013,Walkway 013,"Boston, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-08-02,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-04,Readiness gate,PERMIT,permit_status
A-J013-02,Medium,J013,Walkway 013,"Boston, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-08-02,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-04,Readiness gate,MATERIAL,materials_status
A-J022-01,Medium,J022,Paver Patio 022,"Weymouth, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-08-02,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-04,Readiness gate,UTILITY,utility_locate_status
A-J006-01,Medium,J006,Paver Patio 006,"Boston, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-05,Readiness gate,ACCESS_GATE,site_access_verified
A-J047-01,Medium,J047,Paver Patio 047,"Newport, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-05,Readiness gate,UTILITY,utility_locate_status
A-J047-02,Medium,J047,Paver Patio 047,"Newport, RI",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-05,Readiness gate,PERMIT,permit_status
A-J047-03,Medium,J047,Paver Patio 047,"Newport, RI",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-05,Readiness gate,CREW,crew_assigned
A-J050-01,Medium,J050,Paver Patio 050,"Cranston, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,Yes,Preconstruction,2026-08-05,Readiness gate,ACCESS_GATE,site_access_verified
A-J050-02,Medium,J050,Paver Patio 050,"Cranston, RI",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Commercial review,MARGIN,estimated_margin_pct
A-J005-02,Low,J005,Paver Patio 005,"Providence, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-22,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-24,Site constraint,SLOPE,risk_drivers
A-J005-03,Low,J005,Paver Patio 005,"Providence, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-22,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-24,Site constraint,CARRY,risk_drivers
A-J038-01,Low,J038,Paver Patio 038,"Cranston, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-22,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-24,Site constraint,SLOPE,risk_drivers
A-J038-02,Low,J038,Paver Patio 038,"Cranston, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-22,Open,2026-07-15,Next 7 Days,No,No,Preconstruction,2026-07-24,Site constraint,SIZE,risk_drivers
A-J001-03,Low,J001,Walkway 001,"Pawtucket, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-25,Site constraint,DEMO,risk_drivers
A-J031-02,Low,J031,Walkway 031,"Newport, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-23,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-25,Site constraint,ACCESS_RISK,risk_drivers
A-J042-02,Low,J042,Paver Patio 042,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-25,Site constraint,DEMO,risk_drivers
A-J042-03,Low,J042,Paver Patio 042,"Quincy, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-23,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-25,Site constraint,CARRY,risk_drivers
A-J048-02,Low,J048,Paver Patio 048,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-25,Site constraint,DEMO,risk_drivers
A-J010-03,Low,J010,Paver Patio 010,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,ACCESS_RISK,risk_drivers
A-J010-04,Low,J010,Paver Patio 010,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,SLOPE,risk_drivers
A-J010-05,Low,J010,Paver Patio 010,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,DEMO,risk_drivers
A-J010-06,Low,J010,Paver Patio 010,"Quincy, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,CARRY,risk_drivers
A-J035-05,Low,J035,Paver Patio 035,"Providence, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,SIZE,risk_drivers
A-J041-02,Low,J041,Paver Patio 041,"Worcester, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-24,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-26,Site constraint,ACCESS_RISK,risk_drivers
A-J009-02,Low,J009,Paver Patio 009,"Framingham, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-25,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-27,Site constraint,DEMO,risk_drivers
A-J014-03,Low,J014,Paver Patio 014,"Pawtucket, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-25,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-27,Site constraint,DEMO,risk_drivers
A-J014-04,Low,J014,Paver Patio 014,"Pawtucket, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-25,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-27,Site constraint,SIZE,risk_drivers
A-J028-02,Low,J028,Paver Patio 028,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-25,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-27,Site constraint,SLOPE,risk_drivers
A-J027-02,Low,J027,Paver Patio 027,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Site constraint,ACCESS_RISK,risk_drivers
A-J044-01,Low,J044,Paver Patio 044,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Site constraint,ACCESS_RISK,risk_drivers
A-J044-02,Low,J044,Paver Patio 044,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Site constraint,SLOPE,risk_drivers
A-J044-04,Low,J044,Paver Patio 044,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Site constraint,SIZE,risk_drivers
A-J060-05,Low,J060,Paver Patio 060,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-26,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-28,Site constraint,SLOPE,risk_drivers
A-J026-05,Low,J026,Paver Patio 026,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-27,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-29,Site constraint,SIZE,risk_drivers
A-J033-03,Low,J033,Walkway 033,"Warwick, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-27,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-29,Site constraint,CARRY,risk_drivers
A-J058-01,Low,J058,Walkway 058,"Pawtucket, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-27,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-29,Site constraint,SLOPE,risk_drivers
A-J012-03,Low,J012,Walkway 012,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Site constraint,DEMO,risk_drivers
A-J040-04,Low,J040,Paver Patio 040,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Site constraint,SLOPE,risk_drivers
A-J040-05,Low,J040,Paver Patio 040,"Braintree, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Site constraint,CARRY,risk_drivers
A-J040-06,Low,J040,Paver Patio 040,"Braintree, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-30,Site constraint,SIZE,risk_drivers
A-J007-02,Low,J007,Paver Patio 007,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,ACCESS_RISK,risk_drivers
A-J007-03,Low,J007,Paver Patio 007,"Boston, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,SLOPE,risk_drivers
A-J007-04,Low,J007,Paver Patio 007,"Boston, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,CARRY,risk_drivers
A-J007-05,Low,J007,Paver Patio 007,"Boston, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,SIZE,risk_drivers
A-J034-03,Low,J034,Paver Patio 034,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,SLOPE,risk_drivers
A-J034-04,Low,J034,Paver Patio 034,"Braintree, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-29,Open,2026-07-15,Later,No,No,Preconstruction,2026-07-31,Site constraint,CARRY,risk_drivers
A-J003-02,Low,J003,Paver Patio 003,"Newton, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-30,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-01,Site constraint,SLOPE,risk_drivers
A-J003-03,Low,J003,Paver Patio 003,"Newton, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-30,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-01,Site constraint,CARRY,risk_drivers
A-J004-02,Low,J004,Paver Patio 004,"Warwick, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-30,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-01,Site constraint,SIZE,risk_drivers
A-J015-04,Low,J015,Paver Patio 015,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,DEMO,risk_drivers
A-J016-04,Low,J016,Paver Patio 016,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,ACCESS_RISK,risk_drivers
