priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,lookahead_bucket,escalation_flag,blocking_flag
Medium,J050,Paver Patio 050,"Cranston, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-08-03,Open,Later,No,Yes
Medium,J050,Paver Patio 050,"Cranston, RI",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-08-03,Open,Later,No,No
Low,J005,Paver Patio 005,"Providence, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-22,Open,Next 7 Days,No,No
Low,J005,Paver Patio 005,"Providence, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-22,Open,Next 7 Days,No,No
Low,J038,Paver Patio 038,"Cranston, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-22,Open,Next 7 Days,No,No
Low,J038,Paver Patio 038,"Cranston, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-22,Open,Next 7 Days,No,No
Low,J001,Walkway 001,"Pawtucket, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,Later,No,No
Low,J031,Walkway 031,"Newport, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-23,Open,Later,No,No
Low,J042,Paver Patio 042,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,Later,No,No
Low,J042,Paver Patio 042,"Quincy, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-23,Open,Later,No,No
Low,J048,Paver Patio 048,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-23,Open,Later,No,No
Low,J010,Paver Patio 010,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-24,Open,Later,No,No
Low,J010,Paver Patio 010,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-24,Open,Later,No,No
Low,J010,Paver Patio 010,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-24,Open,Later,No,No
Low,J010,Paver Patio 010,"Quincy, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-24,Open,Later,No,No
Low,J035,Paver Patio 035,"Providence, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-24,Open,Later,No,No
Low,J041,Paver Patio 041,"Worcester, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-24,Open,Later,No,No
Low,J009,Paver Patio 009,"Framingham, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-25,Open,Later,No,No
Low,J014,Paver Patio 014,"Pawtucket, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-25,Open,Later,No,No
Low,J014,Paver Patio 014,"Pawtucket, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-25,Open,Later,No,No
Low,J028,Paver Patio 028,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-25,Open,Later,No,No
Low,J027,Paver Patio 027,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-26,Open,Later,No,No
Low,J044,Paver Patio 044,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-26,Open,Later,No,No
Low,J044,Paver Patio 044,"Quincy, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-26,Open,Later,No,No
Low,J044,Paver Patio 044,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-26,Open,Later,No,No
Low,J060,Paver Patio 060,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-26,Open,Later,No,No
Low,J026,Paver Patio 026,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-27,Open,Later,No,No
Low,J033,Walkway 033,"Warwick, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-27,Open,Later,No,No
Low,J058,Walkway 058,"Pawtucket, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-27,Open,Later,No,No
Low,J012,Walkway 012,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-28,Open,Later,No,No
Low,J040,Paver Patio 040,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-28,Open,Later,No,No
Low,J040,Paver Patio 040,"Braintree, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-28,Open,Later,No,No
Low,J040,Paver Patio 040,"Braintree, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-28,Open,Later,No,No
Low,J007,Paver Patio 007,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-29,Open,Later,No,No
Low,J007,Paver Patio 007,"Boston, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-29,Open,Later,No,No
Low,J007,Paver Patio 007,"Boston, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-29,Open,Later,No,No
Low,J007,Paver Patio 007,"Boston, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-29,Open,Later,No,No
Low,J034,Paver Patio 034,"Braintree, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-29,Open,Later,No,No
Low,J034,Paver Patio 034,"Braintree, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-29,Open,Later,No,No
Low,J003,Paver Patio 003,"Newton, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-07-30,Open,Later,No,No
Low,J003,Paver Patio 003,"Newton, MA",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-30,Open,Later,No,No
Low,J004,Paver Patio 004,"Warwick, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-30,Open,Later,No,No
Low,J015,Paver Patio 015,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-31,Open,Later,No,No
Low,J016,Paver Patio 016,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,Later,No,No
Low,J052,Paver Patio 052,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,Later,No,No
Low,J052,Paver Patio 052,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-31,Open,Later,No,No
Low,J055,Paver Patio 055,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-31,Open,Later,No,No
Low,J057,Paver Patio 057,"Pawtucket, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,Later,No,No
Low,J019,Walkway 019,"Cranston, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-08-01,Open,Later,No,No
Low,J021,Paver Patio 021,"Newport, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-01,Open,Later,No,No
Low,J036,Paver Patio 036,"Cranston, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-08-01,Open,Later,No,No
Low,J013,Walkway 013,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-02,Open,Later,No,No
Low,J022,Paver Patio 022,"Weymouth, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-02,Open,Later,No,No
Low,J006,Paver Patio 006,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-03,Open,Later,No,No
Low,J006,Paver Patio 006,"Boston, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-08-03,Open,Later,No,No
Low,J006,Paver Patio 006,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-03,Open,Later,No,No
Low,J047,Paver Patio 047,"Newport, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-08-03,Open,Later,No,No
Low,J050,Paver Patio 050,"Cranston, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-03,Open,Later,No,No
Low,J050,Paver Patio 050,"Cranston, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-03,Open,Later,No,No
